BUSINESS NAME, MERCHANT ID, PRIMARY ACCOUNT NUMBER, POS DATA CODE, DATETIME, EXP DATE, CURRENCY CODE, AUTH AMOUNT, TERMINAL ID, ZIP, CITY
COMPANY 1,D6RJPwyuLXoLqQRQcOcouJ26KGxJSf6hgbu,6705362103919221351,0,20130312173210,0916,USD,2.20,5150279519809946,41363,Quicksand
COMPANY 2,OFp6pKTMg26n1iiFY00M9uSqh9ZfMxMBRf1,4710011837121304048,4,20130312173210,0815,USD,22.78,5985180438915120,16950,Westfield
COMPANY 3,ljh71ujKshzWNfXMdQyN8O7vaNHlmPCCnAx,2553303262790204445,6,20130312173210,0316,USD,218.57,0663011190577329,18224,Freeland
COMPANY 4,FZXC0wg0LvaJ6atJJx2a9vnfSFj4QhlOgbU,2345502971501633006,3,20130312173210,0813,USD,18.31,4959093407575064,55470,Minneapolis
COMPANY 5,ljh71ujKshzWNfXMdQyN8O7vaNHlmPCCnAx,6388500771470313223,2,20130312173210,0415,USD,314.94,7116826188355220,39194,Yazoo City
COMPANY 6,g6vtmaWp0CdIPEaeWfAeeu576BE7IuDk9H5,5202363682168656195,3,20130312173210,0215,USD,328.52,0497135571326680,85739,Tucson
COMPANY 7,FYYQLlKwnmIor4nxrpKu0EnYXFC3aBy8oWl,8704922945605006285,0,20130312173210,0814,USD,261.11,1861218392021391,97423,Coquille
COMPANY 8,ljh71ujKshzWNfXMdQyN8O7vaNHlmPCCnAx,1241441620952009753,1,20130312173210,0816,USD,34.29,3594534131211228,40017,Defoe
COMPANY 9,ljh71ujKshzWNfXMdQyN8O7vaNHlmPCCnAx,2049824339216248859,2,20130312173210,0714,USD,31.51,6871027833256174,71334,Ferriday
COMPANY 10,rv8wv6hvHFQDM0EkYIIdLax0w9tAEpfcusb,8444892452744211258,4,20130312173210,0115,USD,19.11,0147047861622147,20606,Abell
